date,close,open,high,low,volume,change
2004-01-02,27.45,27.58,27.77,27.33,44.49M,0.29
2004-01-05,28.14,27.74,28.18,27.72,67.34M,2.51
2004-01-06,28.24,28.19,28.28,28.07,46.96M,0.36
2004-01-07,28.21,28.17,28.31,28.01,54.33M,-0.11
2004-01-08,28.16,28.39,28.48,28.0,58.82M,-0.18
2004-01-09,27.66,28.03,28.06,27.59,67.14M,-1.78
2004-01-12,27.57,27.67,27.73,27.35,55.86M,-0.33
2004-01-13,27.43,27.54,27.64,27.26,51.56M,-0.51
2004-01-14,27.7,27.51,27.73,27.47,43.94M,0.98
2004-01-15,27.54,27.55,27.72,27.42,58.53M,-0.58
2004-01-16,27.81,27.74,27.88,27.53,64.01M,0.98
2004-01-20,28.1,27.99,28.2,27.93,63.10M,1.04
2004-01-21,28.3,28.13,28.3,27.85,53.64M,0.71
2004-01-22,28.01,28.37,28.44,27.94,79.83M,-1.02
2004-01-23,28.48,28.27,28.76,28.22,127.27M,1.68
2004-01-26,28.8,28.49,28.83,28.32,58.32M,1.12
2004-01-27,28.25,28.6,28.72,28.22,63.23M,-1.91
2004-01-28,27.71,28.28,28.44,27.47,71.25M,-1.91
2004-01-29,27.91,27.78,27.95,27.57,63.75M,0.72
2004-01-30,27.65,27.85,27.9,27.55,40.53M,-0.93
2004-02-02,27.4,27.63,27.8,27.24,63.31M,-0.9
2004-02-03,27.29,27.42,27.55,27.18,48.21M,-0.4
2004-02-04,27.01,27.15,27.43,27.01,60.94M,-1.03
2004-02-05,26.96,27.06,27.17,26.83,55.57M,-0.19
2004-02-06,27.08,27.0,27.19,26.93,47.22M,0.45
2004-02-09,26.9,27.18,27.23,26.85,48.11M,-0.66
2004-02-10,27.02,26.86,27.15,26.82,37.84M,0.45
2004-02-11,27.15,26.95,27.23,26.85,51.52M,0.48
2004-02-12,26.95,27.09,27.15,26.93,44.79M,-0.74
2004-02-13,26.59,26.98,27.06,26.5,67.55M,-1.34
2004-02-17,26.99,26.7,27.1,26.59,43.49M,1.5
2004-02-18,26.77,26.92,27.11,26.74,50.34M,-0.82
2004-02-19,26.46,26.9,26.98,26.43,62.15M,-1.16
2004-02-20,26.57,26.65,26.8,26.5,57.84M,0.42
2004-02-23,26.61,26.75,26.76,26.48,50.27M,0.15
2004-02-24,26.88,26.6,26.95,26.55,55.44M,1.01
2004-02-25,26.7,26.89,26.99,26.61,64.50M,-0.67
2004-02-26,26.5,26.63,26.65,26.41,66.61M,-0.75
2004-02-27,26.53,26.48,26.62,26.35,58.28M,0.11
2004-03-01,26.7,26.65,26.72,26.5,52.15M,0.64
2004-03-02,26.39,26.63,26.69,26.35,66.35M,-1.16
2004-03-03,26.37,26.35,26.55,26.22,55.00M,-0.08
2004-03-04,26.37,26.37,26.42,26.21,44.03M,0.0
2004-03-05,26.35,26.23,26.6,26.2,59.85M,-0.08
2004-03-08,25.83,26.31,26.35,25.81,69.40M,-1.97
